S.No.,District,Specific Black Spots,Black Spot Code,Latitude,Longitude,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023- Predicted,Total Fatalities,Priority Order,Reason
1,Ariyalur,Kaikatti four road Junction,TN-001,11.1128,79.1709,0,0,15,0,0,0,19,39,46,0,0,9,19,128,Priority 5,car crash
2,Ariyalur,Thirumanur Petrol Bunk,TN-002,10.9398,79.0981,0,0,13,2,34,23,0,9,0,3,32,0,8,116,Priority 5,side impact collision 
3,Coimbatore,JJ Nagar Bridge,TN-003,10.9579,76.9464,0,12,0,3,24,15,0,0,23,77,55,33,19,242,Priority 5,Distract driving
4,Coimbatore,Themilai to Unjawelam patty,TN-004,11.0359,76.9755,0,24,0,0,16,18,22,12,6,0,19,0,10,117,Priority 4,Head on collision 
5,Coimbatore,Mathamapalayam Salval Company,TN-005,11.2591,76.9088,0,0,13,0,70,4,33,25,34,42,11,21,21,253,Priority 5,Accident in low speed 
6,Coimbatore,Gas company,TN-006,10.9891,76.9588,0,0,12,0,8,0,1,0,10,0,4,9,4,44,Priority 5,Accident due to DUI
7,Coimbatore,Viswanathapuram near VG Hospital,TN-007,11.0004,76.9987,0,0,63,56,22,5,46,32,12,29,10,4,23,279,Priority 3,Accident at low speed
8,Coimbatore,Karpagam College Junction,TN-008,10.8649,77.0215,0,0,13,0,10,0,0,0,9,23,31,27,9,113,Priority 5,Hit and run
9,Coimbatore,Ondipudar to Sumgam,TN-009,10.9936,77.0545,0,18,12,0,24,0,50,70,18,3,11,16,19,222,Priority 4,Drunk and drive
10,Coimbatore,North Coimbatore to MTP road,TN-010,11.0039,77.0641,0,16,12,0,11,9,12,41,55,7,27,39,19,229,Priority 4,Rear end collision 
11,Coimbatore,Saravanampatty to GP Signal,TN-011,11.0794,76.9987,0,21,18,70,16,34,59,14,74,34,29,19,32,388,Priority 4,sideswipe collision 
12,Coimbatore,Ukkadam to Eachamari,TN-012,10.9912,76.9656,0,17,0,36,4,1,50,35,20,2,8,32,17,205,Priority 5,Failure in mechanics
13,Coimbatore,Athupalam to Sugunapuram,TN-013,10.9747,76.9618,0,19,17,32,19,3,47,25,34,53,33,4,24,286,Priority 4,vehicle rollover
14,Cuddalore,Maravai Bridge,TN-014,11.5267,79.5614,0,12,0,3,0,4,2,9,2,3,13,0,4,48,Priority 5,Chain reaction driving
15,Cuddalore,Pamikkankuppam,TN-015,11.7502,79.5517,0,11,0,49,28,27,72,0,10,38,14,16,22,265,Priority 5,distract driving 
16,Cuddalore,OT Clock tower to Karaikudi Junction,TN-016,11.7147,79.7679,0,0,16,2,32,7,2,10,44,8,70,20,18,211,Priority 5,Drunk and drive
17,Cuddalore,Cuddalore Chidambaram Main road,TN-017,11.2845,79.5500,0,0,15,0,8,10,28,51,26,40,15,39,19,232,Priority 5,Failure to yeild
18,Cuddalore,Cuddalore Chidambaram Main road,TN-018,11.4473,79.0288,0,0,12,37,33,24,29,12,29,2,30,30,20,238,Priority 5,drunk and drive 
19,Cuddalore,"Venkanur, Kallurm, Eluthur",TN-019,11.4763,79.0777,30,21,13,5,25,3,0,70,0,2,30,10,17,209,Priority 3,drunk and drive 
20,Cuddalore,Ayyanarpalayam,TN-020,11.9385,78.0572,23,24,29,0,0,20,0,8,0,12,19,22,13,157,Priority 2,Head on collision 
21,Dharmapuri,Thoppur Katamedu,TN-021,12.3787,78.4132,0,24,25,36,23,1,37,11,29,0,28,35,21,249,Priority 3,Head on collision 
22,Krishnagiri,Krishnagiri to Bangalore NH-7,TN-022,12.8701,79.7077,0,14,0,35,13,26,49,1,19,74,35,5,23,271,Priority 5,Hit and run
23,Kancheepuram,Ponnerikarai to White Gate,TN-023,13.0125,80.0947,60,51,4,58,24,3,77,70,36,0,30,0,34,413,Priority 1,Rear end collision 
24,Kancheepuram,Sivanthangal Road Jn,TN-024,12.9617,79.9448,0,12,11,35,11,0,57,13,19,3,35,19,18,215,Priority 4,car crash
25,Kancheepuram,Sriperumbudur West Bypass,TN-025,12.8638,80.0746,0,13,11,0,2,1,31,9,39,20,6,32,14,164,Priority 4,Distract driving 
26,Kancheepuram,Urappakkam Tea Shop Bus Stop,TN-026,12.1995,79.9581,0,11,14,32,65,14,0,13,0,5,29,21,17,204,Priority 4,multiple vehicles collision 
27,Kancheepuram,"TNSTC Motel, Mamandur",TN-027,12.5100,79.8834,0,12,0,41,36,14,46,0,3,0,30,10,16,192,Priority 5,chain reaction driving 
28,Kancheepuram,Maduranthagam Bypass,TN-028,13.0240,80.0235,0,0,13,17,40,41,6,19,18,0,1,1,13,156,Priority 5,Non- adherence driving 
29,Kancheepuram,Chettipedu Junction,TN-029,13.0214,80.1837,0,12,0,0,6,15,1,0,4,65,13,39,13,155,Priority 5,accident at low speed 
30,Kancheepuram,Panapakkam Road Junction,TN-030,13.0012,79.9908,34,38,20,19,26,13,72,31,43,0,30,29,30,355,Priority 2,drunk and drive 
31,Kancheepuram,Mevalurkuppam,TN-031,12.9876,79.9797,73,70,74,3,6,11,0,22,12,58,8,29,31,366,Priority 1,distract driving 
32,Kancheepuram,Thirumangalam,TN-032,12.7165,79.9812,27,21,41,0,14,29,73,35,8,25,9,13,25,295,Priority 2,lack of awareness 
33,Kancheepuram,Pulipakkam Junction Road,TN-033,12.6759,79.9582,49,51,38,59,33,20,1,0,10,74,34,14,32,383,Priority 1,Sleepy driver
34,Kancheepuram,Thailavaram to Urapakkam junction,TN-034,12.8291,80.0448,45,48,55,54,0,3,63,21,22,2,16,13,29,342,Priority 1,Multiple vehicles collision 
35,Kancheepuram,Vandalur sign & New Bridge,TN-035,12.8930,80.0862,28,26,11,1,25,26,49,16,21,7,32,12,21,254,Priority 2,sideswipe collision 
36,Kancheepuram,"Koil Junction, Maraimalai Nagar",TN-036,12.7997,80.0228,62,65,58,0,2,25,1,36,13,45,11,11,27,329,Priority 1,Head on collision 
37,Kancheepuram,Vellai gate to Chinisaiyam chatram,TN-037,12.8879,79.7917,0,0,17,0,6,0,65,12,13,77,23,19,19,232,Priority 5,Hit and run
38,Karaikumari,Marthandam to Chankai,TN-038,8.2971,77.2268,0,16,0,52,27,40,18,31,31,2,0,20,20,237,Priority 5,head on collision 
39,Karur,Thirukkampulsyur Rountana,TN-039,10.9577,78.2500,0,16,0,62,26,10,22,21,20,45,12,1,20,235,Priority 5,overspeeding
40,Madurai,Ayyankottai Junction,TN-040,10.0273,78.0149,0,13,0,0,14,20,0,5,0,51,24,0,11,127,Priority 5,overspeeding 
41,Madurai,Munikovil Junction,TN-041,10.0171,78.3073,0,0,16,3,31,37,6,4,1,7,29,13,12,147,Priority 5,car crash
42,Madurai,Ayyankottai Junction,TN-042,10.0273,78.0150,0,0,15,39,6,42,38,11,5,39,17,28,20,240,Priority 5,Accident due to DUI 
43,Nagapattinam,Sirkali to Senthankudi,TN-043,11.2396,79.7270,23,11,6,0,32,21,0,10,24,0,6,21,13,154,Priority 4,Lack of awareness 
44,Nagapattinam,Rajivporam to Thirukadaiyur,TN-044,11.0167,79.8415,0,11,0,3,55,22,3,44,30,5,66,37,23,276,Priority 5,Rear end collision 
45,Namakkal,Muthalaipatty Bypass,TN-045,10.8174,78.5779,0,12,0,26,13,24,0,28,39,0,8,8,13,158,Priority 5,overspeeding 
46,Namakkal,Karukalpalayam Bus Stop,TN-046,11.3445,77.7300,0,11,0,0,19,36,56,12,41,0,70,1,21,246,Priority 5,Head on collision 
47,Namakkal,Kottamedu Bypass,TN-047,12.7383,80.1330,0,0,11,30,18,16,1,0,0,61,19,8,14,164,Priority 5,Head on collision 
48,Perambur,Siruvachur Cross Road,TN-048,11.1924,78.8729,0,14,0,21,33,24,0,31,0,1,19,1,12,144,Priority 5,sideswipe collision 
49,Salem,Omalr to Deevattipatty,TN-049,11.8716,78.0834,72,63,56,26,70,10,5,17,24,4,26,14,32,387,Priority 1,Distract driving 
50,Salem,"Mallur Junction, Santhiyur Junction",TN-050,10.9067,77.4279,27,27,18,2,9,0,0,30,11,1,8,1,11,134,Priority 2,Drunk and drive 
